,age,ed,employ,income,debtinc,default,AgeCategory
0,41,3,17,176,9.3,1.0,0
1,27,1,10,31,17.3,0.0,1
2,40,1,15,55,5.5,0.0,0
3,41,1,15,120,2.9,0.0,0
4,24,2,2,28,17.3,1.0,1
5,41,2,5,25,10.2,0.0,0
6,39,1,20,67,30.6,0.0,0
7,43,1,12,38,3.6,0.0,0
8,24,1,3,19,24.4,1.0,1
9,36,1,0,25,19.7,0.0,0
10,27,1,0,16,1.7,0.0,1
11,25,1,4,23,5.2,0.0,1
12,52,1,24,64,10.0,0.0,0
13,37,1,6,29,16.3,0.0,0
14,48,1,22,100,9.1,0.0,0
15,36,2,9,49,8.6,1.0,0
16,36,2,13,41,16.4,1.0,0
17,43,1,23,72,7.6,0.0,0
18,39,1,6,61,5.7,0.0,0
19,41,3,0,26,1.7,0.0,0
20,39,1,22,52,3.2,0.0,0
21,47,1,17,43,5.6,0.0,0
22,28,1,3,26,10.0,0.0,1
23,29,1,8,27,9.8,0.0,1
24,21,2,1,16,18.0,1.0,1
25,25,4,0,32,17.6,0.0,1
26,45,2,9,69,6.7,0.0,0
27,43,1,25,64,16.7,0.0,0
28,33,2,12,58,18.4,0.0,1
29,26,3,2,37,14.2,0.0,1
30,45,1,3,20,2.1,0.0,0
31,30,1,1,22,10.5,0.0,1
32,27,3,2,26,6.0,0.0,1
33,25,1,8,27,14.4,0.0,1
34,25,1,8,35,2.9,0.0,1
35,26,2,6,45,26.0,0.0,1
36,30,2,10,22,16.1,0.0,1
37,32,2,12,54,14.4,0.0,1
38,28,2,1,24,17.1,1.0,1
39,45,1,23,50,4.2,0.0,0
40,23,1,7,31,6.6,0.0,1
41,34,1,17,59,8.0,0.0,1
42,42,2,7,41,4.6,0.0,0
43,39,1,19,48,13.1,0.0,0
44,26,1,0,14,7.5,1.0,1
45,21,2,0,16,6.8,0.0,1
46,35,1,13,35,4.5,0.0,0
47,47,1,4,26,10.4,0.0,0
48,23,2,0,21,11.4,1.0,1
49,35,1,18,42,7.4,0.0,0
50,34,1,2,25,12.6,1.0,1
51,46,1,1,20,14.0,0.0,0
52,46,1,16,52,12.9,1.0,0
53,38,3,3,25,3.7,0.0,0
54,40,2,3,28,9.5,0.0,0
55,37,1,1,24,15.1,1.0,0
56,35,1,9,34,5.0,0.0,0
57,39,2,16,69,2.4,0.0,0
58,40,3,18,100,2.5,0.0,0
59,50,3,10,80,12.2,0.0,0
60,31,1,9,28,2.4,0.0,1
61,29,1,13,42,7.4,1.0,1
62,37,1,4,23,12.4,0.0,0
63,33,2,4,55,7.0,0.0,1
64,26,2,5,28,7.8,0.0,1
65,32,2,11,75,23.3,1.0,1
66,28,2,2,23,6.4,1.0,1
67,39,1,19,46,9.1,0.0,0
68,28,2,8,31,8.2,1.0,1
69,29,1,1,20,18.6,1.0,1
70,34,2,3,21,23.1,0.0,1
71,28,2,5,34,23.8,0.0,1
72,47,1,26,100,12.8,0.0,0
73,43,4,1,26,10.6,0.0,0
74,41,1,13,44,1.7,0.0,0
75,47,1,13,51,23.8,0.0,0
76,24,1,2,21,0.6,0.0,1
77,29,1,1,17,6.7,0.0,1
78,33,1,14,37,2.6,0.0,1
79,36,1,15,39,3.2,0.0,0
80,26,1,4,27,10.5,1.0,1
81,31,1,11,45,17.0,0.0,1
82,37,1,7,32,19.6,0.0,0
83,35,4,4,29,11.0,0.0,0
84,26,1,4,20,5.4,0.0,1
85,40,1,10,45,18.8,0.0,0
86,29,2,5,36,12.4,1.0,1
87,37,3,5,29,24.6,0.0,0
88,32,1,12,28,2.9,0.0,1
89,23,2,0,17,27.7,1.0,1
90,32,1,3,23,6.2,0.0,1
91,25,1,1,15,11.4,1.0,1
92,38,1,5,54,10.6,0.0,0
93,32,2,0,18,5.8,1.0,1
94,41,3,2,15,26.3,1.0,0
95,36,1,17,54,4.4,0.0,0
96,42,3,13,82,3.3,0.0,0
97,41,1,14,52,7.3,0.0,0
98,29,2,4,19,6.3,0.0,1
99,38,3,4,31,9.3,1.0,0
100,39,1,22,113,2.6,0.0,0
101,36,1,6,26,8.3,0.0,0
